juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,35777.0,98420.0,5774.0,4595.0,6956.0,18452.0,33526.0,3794.0,38943.0,810.0,8607.0,4962.0,7727.0,9210.0,7627.0,0.533570959852,32256215.4223,828.293028846
Hayward,54248.0,146454.0,13154.0,9160.0,10760.0,21174.0,37176.0,17643.0,83481.0,142.0,22553.0,7771.0,11215.0,24689.0,17111.0,0.729610501399,68142644.7404,816.265314748
Sonoma County,65677.0,179172.0,10121.0,9468.0,13542.0,32546.0,61703.0,10575.0,38310.0,2757.0,4237.0,3545.0,10552.0,10880.0,6339.0,0.532202648169,34775510.533,907.739768545
Fremont,79579.0,220814.0,13290.0,9897.0,14874.0,41518.0,56933.0,21632.0,112789.0,550.0,33198.0,10552.0,19868.0,31273.0,17348.0,0.698882897441,82957279.5704,735.508600754
Pleasanton,34932.0,97883.0,4594.0,3710.0,6640.0,19988.0,26711.0,8905.0,55298.0,350.0,6606.0,6197.0,13060.0,15466.0,13619.0,0.653887911347,31123025.7362,562.823713989
Dublin,18012.0,50229.0,2012.0,1972.0,3403.0,10625.0,14209.0,2857.0,22727.0,134.0,2644.0,3494.0,3389.0,6588.0,6478.0,0.633823632909,14378104.4317,632.644186724
San Ramon,32906.0,92358.0,3182.0,3004.0,5730.0,20990.0,29685.0,4899.0,35375.0,486.0,3056.0,2195.0,11140.0,10054.0,8444.0,0.554252989725,21326978.9403,602.882796898
Brentwood,31090.0,84002.0,6607.0,4999.0,6222.0,13262.0,26175.0,9652.0,38636.0,339.0,1432.0,4697.0,7068.0,16377.0,8723.0,0.593887297039,18282337.122,473.194355575
Oakley,11574.0,32451.0,1926.0,1726.0,2672.0,5250.0,12158.0,524.0,5948.0,102.0,392.0,773.0,1584.0,1995.0,1102.0,0.475982891923,4084743.6719,686.74237927
Antioch,69107.0,178257.0,21420.0,12519.0,12703.0,22465.0,66421.0,6186.0,57640.0,425.0,3940.0,6841.0,11451.0,20960.0,14023.0,0.52021950889,30038182.5675,521.134326293
Contra Costa County,72377.0,197530.0,12919.0,9793.0,13765.0,35900.0,63263.0,13571.0,59553.0,359.0,5502.0,7726.0,10525.0,19149.0,16292.0,0.572032625705,47507420.9109,797.733462813
Napa County,11324.0,30919.0,1431.0,1434.0,2229.0,6230.0,11374.0,938.0,16327.0,848.0,5384.0,2575.0,746.0,2707.0,4067.0,0.497802004572,14314885.5818,876.761534994
San Francisco,464729.0,1121214.0,178658.0,90874.0,74193.0,121004.0,117794.0,356076.0,561532.0,368.0,22403.0,22731.0,210026.0,166085.0,139919.0,1.9726344296,427171342.266,760.724842513
San Mateo County,37221.0,103708.0,5110.0,4028.0,6413.0,21670.0,26580.0,12166.0,44512.0,336.0,3337.0,1444.0,22863.0,10751.0,5781.0,0.700169300226,26810522.6947,602.321232358
Petaluma,28015.0,74565.0,5730.0,4485.0,5746.0,12054.0,26050.0,4815.0,101302.0,2792.0,4480.0,3732.0,41095.0,34545.0,14658.0,0.537715930902,47613677.6813,470.017153475
Santa Rosa,69836.0,182277.0,17189.0,13227.0,14782.0,24638.0,50714.0,26294.0,75906.0,557.0,5470.0,11332.0,9887.0,29251.0,19409.0,0.688527822692,51301406.4848,675.854431597
Rohnert Park,17155.0,44642.0,4378.0,3127.0,3552.0,6098.0,12765.0,6125.0,22149.0,314.0,2016.0,2116.0,3937.0,8427.0,5339.0,0.671954563259,15690638.3995,708.412948646
Mill Valley,16510.0,46106.0,1749.0,1706.0,2618.0,10437.0,5485.0,11546.0,6060.0,23.0,255.0,613.0,1074.0,2386.0,1709.0,1.50501367366,3412248.88993,563.077374576
Richmond,57282.0,149605.0,17628.0,10702.0,10882.0,18070.0,36811.0,23560.0,65339.0,185.0,10162.0,4894.0,13852.0,19812.0,16434.0,0.778055472549,41886632.356,641.066321125
Pittsburg,24627.0,67075.0,5936.0,4074.0,5210.0,9407.0,20503.0,6291.0,17416.0,65.0,2320.0,2925.0,1570.0,4840.0,5696.0,0.600570648198,12272681.3121,704.678531929
Orinda,7009.0,20153.0,364.0,425.0,978.0,5242.0,6513.0,846.0,25267.0,376.0,255.0,270.0,16363.0,6459.0,1544.0,0.538077690772,9899359.3206,391.790055036
Alameda,43930.0,110950.0,13325.0,8043.0,8066.0,14496.0,17090.0,26751.0,44284.0,143.0,3422.0,2413.0,13319.0,14845.0,10142.0,1.28525453482,26812434.0797,605.465497237
Napa,29703.0,78276.0,7279.0,5339.0,6192.0,10893.0,23218.0,8077.0,35006.0,293.0,4002.0,7403.0,3139.0,11534.0,8635.0,0.639654578344,26221224.8602,749.049444672
Hercules,10452.0,29194.0,1453.0,1307.0,2019.0,5673.0,9446.0,1622.0,8337.0,27.0,1323.0,825.0,1662.0,2653.0,1847.0,0.553250052932,4914240.14743,589.449459929
Newark,13188.0,37016.0,2210.0,1745.0,2541.0,6692.0,10810.0,2729.0,32376.0,61.0,7445.0,6172.0,3041.0,8480.0,7177.0,0.609990749306,23136726.8715,714.625860868
Alameda County,67440.0,182387.0,14149.0,10120.0,12869.0,30302.0,53036.0,19348.0,34646.0,110.0,3324.0,4235.0,7088.0,11973.0,7916.0,0.635794554642,42980028.9726,1240.54808557
Martinez,20713.0,55615.0,3593.0,2994.0,4204.0,9922.0,15049.0,6961.0,11939.0,23.0,1590.0,1378.0,1199.0,2595.0,5154.0,0.688185261479,11077312.9351,927.825859378
Danville,16728.0,47704.0,1126.0,1223.0,2558.0,11821.0,16961.0,848.0,9990.0,64.0,625.0,1175.0,2084.0,3306.0,2736.0,0.49313130122,6099361.20535,610.546667202
Marin County,32112.0,89566.0,3175.0,3244.0,5180.0,20513.0,28134.0,6633.0,7764.0,60.0,334.0,1021.0,1273.0,3066.0,2010.0,0.570697376839,7634829.06022,983.362836196
Healdsburg,4747.0,12356.0,1111.0,852.0,1081.0,1703.0,3870.0,1116.0,6562.0,88.0,977.0,1061.0,610.0,1797.0,2029.0,0.61330749354,4876858.0,743.196891192
Concord,61589.0,162983.0,15374.0,10407.0,12273.0,23535.0,42700.0,22824.0,85979.0,401.0,7831.0,5888.0,26610.0,28307.0,16942.0,0.721182669789,44331605.4691,515.609689216
Sunnyvale,63863.0,167547.0,15529.0,9602.0,12118.0,26614.0,35975.0,30662.0,106526.0,445.0,22384.0,8556.0,29149.0,29994.0,15998.0,0.887602501737,60685906.3762,569.681639939
Ross,919.0,2724.0,61.0,55.0,120.0,683.0,934.0,33.0,311.0,3.0,11.0,25.0,51.0,139.0,82.0,0.491970021413,315973.897997,1015.99324115
Clayton,4228.0,11751.0,415.0,458.0,775.0,2580.0,4269.0,211.0,1527.0,12.0,57.0,266.0,185.0,606.0,401.0,0.495197938627,1041531.70023,682.077079389
Cloverdale,3430.0,8813.0,992.0,708.0,749.0,981.0,2792.0,804.0,1515.0,51.0,160.0,222.0,139.0,540.0,403.0,0.614255014327,1366813.0,902.18679868
Daly City,32565.0,89206.0,7241.0,5071.0,6319.0,13934.0,23711.0,10210.0,69055.0,156.0,2028.0,2149.0,25947.0,29456.0,9319.0,0.686706591877,29658021.287,429.484053103
Rio Vista,4315.0,10646.0,1162.0,932.0,925.0,1296.0,4256.0,98.0,1128.0,80.0,118.0,279.0,70.0,278.0,303.0,0.506931390977,964708.0,855.237588652
Oakland,239175.0,584622.0,97474.0,48710.0,38358.0,54633.0,91652.0,153246.0,225830.0,245.0,19798.0,14001.0,45072.0,89795.0,56919.0,1.30479967704,147114031.952,651.437063067
Lafayette,10965.0,31031.0,905.0,941.0,1741.0,7378.0,10012.0,1691.0,8132.0,36.0,487.0,710.0,1749.0,3022.0,2128.0,0.547592888534,4319110.81263,531.125284386
San Pablo,12157.0,31576.0,4267.0,2486.0,2293.0,3111.0,6268.0,6526.0,7220.0,11.0,668.0,995.0,628.0,2760.0,2158.0,0.969767070836,4476793.04545,620.054438427
Walnut Creek,40375.0,105315.0,8120.0,5864.0,7742.0,18649.0,22666.0,20018.0,73240.0,178.0,3248.0,4142.0,19204.0,32555.0,13913.0,0.890651195623,34306918.563,468.417784858
Pleasant Hill,16543.0,44201.0,2797.0,2349.0,3302.0,8095.0,12907.0,4398.0,14647.0,37.0,651.0,1765.0,2281.0,5938.0,3975.0,0.640853800263,8889255.02899,606.899367037
Union City,22060.0,62884.0,3715.0,2760.0,4195.0,11390.0,16944.0,5031.0,48809.0,138.0,11623.0,3184.0,11090.0,14308.0,8466.0,0.65096789424,31493008.0951,645.22952929
Brisbane,1885.0,5051.0,341.0,252.0,377.0,915.0,1462.0,518.0,47906.0,464.0,2190.0,595.0,36932.0,4685.0,3040.0,0.644664842681,21416916.0865,447.061246743
San Leandro,33910.0,89841.0,8124.0,5967.0,6842.0,12977.0,23573.0,10868.0,64519.0,92.0,14921.0,8299.0,7236.0,16437.0,17534.0,0.719255079964,47960174.1684,743.349620553
Pinole,9173.0,25266.0,1499.0,1197.0,1804.0,4673.0,7749.0,2093.0,6662.0,17.0,568.0,964.0,872.0,2522.0,1719.0,0.59188282359,3837750.52015,576.0658241
St. Helena,2624.0,6831.0,547.0,425.0,558.0,1094.0,2073.0,706.0,4461.0,259.0,533.0,629.0,490.0,1376.0,1174.0,0.632899179932,2947744.36769,660.781073233
Fairfield,37697.0,102964.0,7713.0,6354.0,7991.0,15639.0,31173.0,7639.0,64901.0,765.0,10133.0,8135.0,10213.0,22107.0,13548.0,0.604641837488,41004266.6212,631.79714675
San Jose,424937.0,1147285.0,102242.0,66636.0,80520.0,175539.0,268765.0,176361.0,628630.0,2297.0,105058.0,78841.0,128400.0,201832.0,112202.0,0.790536342158,348448990.69,554.299016416
South San Francisco,22751.0,62279.0,4500.0,3382.0,4426.0,10443.0,17959.0,5787.0,68200.0,667.0,6390.0,2064.0,38376.0,13619.0,7084.0,0.633415000835,43136583.9759,632.501231318
Palo Alto,32036.0,85582.0,6118.0,4233.0,5318.0,16367.0,22728.0,10376.0,88772.0,381.0,9870.0,3283.0,32109.0,33203.0,9926.0,0.704769447378,52868807.4549,595.557241641
Novato,26100.0,71658.0,3762.0,3527.0,4824.0,13987.0,21892.0,6402.0,25478.0,205.0,1497.0,1979.0,7039.0,9485.0,5273.0,0.596108167367,15848999.7662,622.066087065
Hillsborough,3696.0,10827.0,108.0,163.0,383.0,3042.0,3861.0,0.0,1218.0,9.0,73.0,96.0,276.0,437.0,327.0,0.478632478632,1243650.78874,1021.05976087
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,8609.0,23977.0,1217.0,1004.0,1513.0,4875.0,3644.0,5509.0,10280.0,65.0,1108.0,473.0,2800.0,3673.0,2161.0,1.18125686059,5928538.31695,576.70606196
Windsor,9377.0,25442.0,1719.0,1483.0,2059.0,4116.0,8339.0,1559.0,7674.0,290.0,1283.0,1174.0,1116.0,1904.0,1907.0,0.562237678379,6106363.0,795.721005994
Berkeley,49730.0,120749.0,18721.0,9584.0,8331.0,13094.0,24536.0,25262.0,55867.0,29.0,4176.0,3846.0,9447.0,23362.0,15007.0,1.0134088686,37809638.6105,676.779469285
Solano County,6351.0,17908.0,732.0,794.0,1246.0,3579.0,5780.0,356.0,2372.0,302.0,581.0,338.0,213.0,382.0,556.0,0.549394463668,2716552.0,1145.25801012
Milpitas,28118.0,78556.0,5305.0,3736.0,5237.0,13840.0,17705.0,11747.0,59577.0,214.0,18260.0,6336.0,9653.0,13950.0,11164.0,0.794069471901,37713369.0887,633.01893497
American Canyon,5490.0,15336.0,1295.0,946.0,1170.0,2079.0,4011.0,1685.0,9438.0,106.0,3626.0,1980.0,383.0,1338.0,2005.0,0.684367988033,9229015.0,977.857067175
Redwood City,38469.0,102352.0,8741.0,5628.0,6795.0,17305.0,22024.0,17718.0,134949.0,496.0,9207.0,2490.0,67737.0,41104.0,13915.0,0.873342717036,59702565.3692,442.408357003
Mountain View,45691.0,116853.0,12850.0,7658.0,8006.0,17177.0,22790.0,24658.0,63960.0,153.0,10607.0,4572.0,16124.0,22064.0,10440.0,1.00243527863,34479108.1652,539.072985697
Sonoma,5357.0,13400.0,1393.0,1058.0,1099.0,1807.0,4324.0,1840.0,4526.0,52.0,218.0,778.0,532.0,1890.0,1056.0,0.619449583719,3753419.19814,829.301634588
Fairfax,4818.0,13200.0,605.0,613.0,824.0,2776.0,4374.0,895.0,2715.0,5.0,27.0,320.0,382.0,1428.0,553.0,0.550754458162,1352205.25208,498.049816604
Santa Clara,50349.0,132106.0,12910.0,8355.0,9556.0,19528.0,28847.0,23883.0,174172.0,1469.0,27959.0,8763.0,79124.0,42057.0,14800.0,0.872690401082,93107085.2382,534.569765738
Vallejo,43194.0,116479.0,9621.0,7034.0,8953.0,17586.0,30051.0,13190.0,59976.0,194.0,3628.0,6592.0,13845.0,22042.0,13675.0,0.71867824698,48451532.1884,807.848675944
Woodside,2065.0,6085.0,51.0,52.0,207.0,1755.0,2143.0,2.0,1858.0,31.0,51.0,102.0,596.0,800.0,278.0,0.481801213252,1414061.19079,761.066302902
Santa Clara County,29504.0,82360.0,4856.0,3757.0,5373.0,15518.0,25873.0,5632.0,37890.0,240.0,6503.0,3899.0,7032.0,13599.0,6617.0,0.570169674951,27279251.8817,719.959141772
Moraga,5744.0,16451.0,427.0,469.0,950.0,3898.0,5355.0,829.0,6340.0,32.0,296.0,605.0,1283.0,2726.0,1398.0,0.536321195145,3726062.13517,587.706961383
Dixon,6012.0,16367.0,1438.0,1092.0,1334.0,2148.0,5624.0,983.0,5926.0,168.0,1078.0,1691.0,252.0,1135.0,1602.0,0.534495021337,4536778.0,765.571717854
Vacaville,32568.0,86393.0,7150.0,5744.0,6910.0,12764.0,25220.0,6391.0,31921.0,509.0,5058.0,7583.0,3031.0,8119.0,7621.0,0.645678033307,21108264.3902,661.265762043
Gilroy,14226.0,39076.0,3504.0,2425.0,3007.0,5290.0,10553.0,4416.0,24441.0,583.0,5022.0,6329.0,1651.0,5721.0,5135.0,0.67402634322,15662514.0,640.829507794
Morgan Hill,13271.0,37515.0,2058.0,1591.0,2576.0,7046.0,11013.0,3465.0,19846.0,426.0,5842.0,3551.0,2135.0,4175.0,3717.0,0.602515209298,13051550.0,657.641338305
Cupertino,22859.0,63831.0,3214.0,2525.0,3858.0,13262.0,16672.0,7141.0,49509.0,224.0,8359.0,3607.0,13009.0,17185.0,7125.0,0.6855506238,24672553.3054,498.344812164
Benicia,16488.0,44505.0,2746.0,2319.0,3189.0,8234.0,9653.0,7242.0,14355.0,87.0,6577.0,1755.0,836.0,1624.0,3476.0,0.854035015021,10648194.4942,741.776000986
Larkspur,6798.0,20457.0,389.0,508.0,975.0,4926.0,4225.0,2899.0,6061.0,40.0,196.0,532.0,1373.0,2600.0,1320.0,0.80449704142,3543350.29573,584.614798833
Piedmont,3724.0,10369.0,391.0,343.0,576.0,2414.0,3794.0,44.0,915.0,4.0,27.0,86.0,149.0,379.0,270.0,0.490774907749,834482.803665,912.003064114
San Mateo,48260.0,128482.0,9798.0,6811.0,8706.0,22945.0,31642.0,18623.0,89074.0,130.0,4240.0,3314.0,31541.0,37942.0,11907.0,0.762594020606,40716515.0491,457.10886509
San Rafael,33713.0,91843.0,5748.0,4800.0,6020.0,17145.0,24794.0,11402.0,39733.0,131.0,2615.0,2581.0,9760.0,15562.0,9084.0,0.679862063402,24010255.2851,604.290017999
Calistoga,2252.0,5678.0,702.0,502.0,413.0,635.0,1587.0,762.0,1975.0,24.0,123.0,609.0,88.0,624.0,507.0,0.709514807813,2240813.0,1134.58886076
Cotati,3321.0,8657.0,653.0,611.0,695.0,1362.0,2722.0,1060.0,2358.0,39.0,311.0,344.0,286.0,714.0,664.0,0.610029390154,1918453.0,813.593299406
San Anselmo,5987.0,16304.0,762.0,697.0,1032.0,3496.0,4833.0,1464.0,3353.0,11.0,183.0,439.0,529.0,1292.0,899.0,0.619387543969,1890066.30239,563.694095554
Los Altos,12621.0,35584.0,1278.0,1133.0,1923.0,8287.0,11483.0,1746.0,21376.0,74.0,820.0,1851.0,5113.0,9973.0,3545.0,0.549551510929,9605701.36821,449.368514606
El Cerrito,11803.0,30734.0,2943.0,2006.0,2316.0,4538.0,9522.0,2887.0,6034.0,3.0,235.0,1098.0,613.0,2211.0,1874.0,0.619775257299,3554669.8458,589.106702983
Saratoga,11008.0,31713.0,857.0,771.0,1564.0,7816.0,10948.0,582.0,6302.0,40.0,343.0,1237.0,1030.0,2373.0,1279.0,0.502740226525,4623305.20021,733.62507144
Suisun City,10375.0,28351.0,2063.0,1695.0,2329.0,4288.0,9644.0,987.0,1750.0,10.0,111.0,597.0,162.0,431.0,439.0,0.537899211945,1375342.0,785.909714286
Sebastopol,3569.0,9202.0,824.0,637.0,792.0,1316.0,2880.0,1174.0,3994.0,51.0,306.0,732.0,427.0,1421.0,1057.0,0.619618055556,2499965.0,625.930145218
Campbell,18332.0,47769.0,4442.0,2972.0,3567.0,7351.0,11021.0,8306.0,22635.0,33.0,3504.0,3612.0,3408.0,7231.0,4847.0,0.831684965067,12292308.1853,543.066409775
Los Gatos,12222.0,33845.0,1515.0,1244.0,2125.0,7338.0,9284.0,3420.0,17227.0,74.0,2169.0,2750.0,2733.0,6065.0,3436.0,0.658229211547,8906780.75787,517.024482375
Albany,8062.0,20302.0,2478.0,1559.0,1555.0,2470.0,4169.0,3607.0,3053.0,3.0,185.0,503.0,286.0,1116.0,960.0,0.966898536819,1945383.35851,637.203851459
Menlo Park,15050.0,41748.0,2061.0,1532.0,2497.0,8960.0,9760.0,5754.0,32146.0,186.0,3813.0,1244.0,11920.0,10033.0,4950.0,0.771004098361,17987139.958,559.545198718
San Carlos,14086.0,38205.0,2228.0,1631.0,2311.0,7916.0,11405.0,3138.0,30672.0,106.0,3458.0,897.0,12955.0,8955.0,4301.0,0.617536168347,17845924.5543,581.831134398
Los Altos Hills,2885.0,8432.0,116.0,111.0,329.0,2329.0,3087.0,0.0,285.0,1.0,25.0,5.0,104.0,76.0,74.0,0.467282150956,656789.0,2304.52280702
Sausalito,4485.0,11831.0,507.0,441.0,765.0,2772.0,2095.0,2554.0,4215.0,8.0,305.0,241.0,1097.0,1481.0,1083.0,1.07040572792,2794846.29676,663.071482031
Pacifica,15673.0,42950.0,2289.0,1902.0,3148.0,8334.0,13584.0,3125.0,4576.0,13.0,240.0,911.0,466.0,1523.0,1423.0,0.576891931684,3430037.94731,749.571229744
Belmont,10700.0,29528.0,1366.0,1118.0,1762.0,6454.0,9247.0,1920.0,11090.0,34.0,955.0,1081.0,2403.0,4470.0,2147.0,0.578566021412,5832326.08384,525.908573836
Tiburon,3952.0,11210.0,241.0,301.0,543.0,2867.0,2924.0,1222.0,5236.0,29.0,117.0,269.0,1435.0,2524.0,862.0,0.675786593707,2532881.53381,483.743608443
East Palo Alto,10638.0,29365.0,2998.0,1814.0,1978.0,3848.0,6299.0,4701.0,13484.0,12.0,1424.0,857.0,2712.0,6234.0,2245.0,0.844419749167,6231424.96704,462.134749855
San Bruno,18017.0,48666.0,3473.0,2646.0,3485.0,8413.0,13373.0,5400.0,14031.0,38.0,662.0,1180.0,3218.0,6119.0,2814.0,0.673633440514,7159430.57723,510.258041282
Emeryville,14318.0,33990.0,6171.0,2993.0,2223.0,2931.0,1555.0,12175.0,25663.0,21.0,2128.0,812.0,6797.0,10646.0,5259.0,4.6038585209,13973584.5601,544.503158636
Corte Madera,4307.0,12061.0,456.0,426.0,736.0,2689.0,3306.0,1205.0,6370.0,20.0,390.0,590.0,1293.0,2579.0,1498.0,0.651391409558,3373830.32279,529.643692745
Foster City,15982.0,43715.0,2152.0,1821.0,2721.0,9288.0,12342.0,4167.0,33963.0,118.0,2189.0,408.0,20630.0,8503.0,2115.0,0.647463944255,14883254.711,438.219671732
Millbrae,9246.0,25243.0,1706.0,1152.0,1742.0,4646.0,5841.0,3726.0,7760.0,33.0,421.0,637.0,2231.0,2982.0,1456.0,0.791474062661,4411147.80013,568.446881461
Burlingame,13762.0,36536.0,2511.0,1875.0,2532.0,6844.0,7331.0,6856.0,47396.0,366.0,3300.0,1770.0,20736.0,13993.0,7231.0,0.938616832629,25267831.2767,533.121598377
Atherton,2417.0,6996.0,84.0,143.0,275.0,1915.0,2504.0,2.0,4538.0,38.0,109.0,146.0,1897.0,1836.0,512.0,0.482627795527,2448954.47866,539.655019537
Portola Valley,2355.0,6743.0,73.0,93.0,262.0,1927.0,2434.0,0.0,454.0,46.0,27.0,47.0,87.0,140.0,107.0,0.483771569433,468040.099043,1030.92532829
Colma,875.0,2312.0,204.0,163.0,173.0,335.0,494.0,409.0,10409.0,43.0,330.0,543.0,4125.0,4190.0,1178.0,0.885627530364,4890064.1194,469.791922317
Monte Sereno,1209.0,3316.0,113.0,106.0,204.0,786.0,1183.0,99.0,76.0,0.0,7.0,4.0,33.0,23.0,9.0,0.510989010989,226185.0,2976.11842105
Belvedere,1044.0,2871.0,47.0,55.0,147.0,795.0,972.0,112.0,222.0,3.0,5.0,17.0,67.0,85.0,45.0,0.537037037037,133365.432548,600.745191659
Yountville,1177.0,2898.0,308.0,229.0,249.0,391.0,864.0,392.0,1623.0,28.0,55.0,618.0,38.0,425.0,459.0,0.681134259259,1779392.0,1096.35982748
Stanislaus County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Joaquin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yolo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake County,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Santa Cruz County,9.0,20.0,0.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
San Francisco County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
