pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
vta1_h,174.0,476.0,25.0,13.0,26.0,110.0,103.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844660194175,0.0,0.0
elc1_b,1329.0,3483.0,400.0,252.0,222.0,455.0,916.0,524.0,2608.0,0.0,132.0,424.0,250.0,936.0,866.0,0.725436681223,1276038.00151,489.278374811
sfo2,862.0,2202.0,285.0,143.0,174.0,260.0,187.0,693.0,3577.0,5.0,66.0,211.0,637.0,1883.0,775.0,2.30481283422,4183797.1629,1169.63856944
ccg1_d,1656.0,4313.0,380.0,255.0,326.0,695.0,1226.0,477.0,2138.0,4.0,63.0,157.0,519.0,1052.0,343.0,0.675367047308,1068692.11557,499.855994184
val1,336.0,841.0,118.0,59.0,71.0,88.0,6.0,295.0,2496.0,4.0,183.0,447.0,201.0,691.0,970.0,28.0,1269182.22538,508.486468503
win1,1874.0,5016.0,403.0,329.0,393.0,749.0,1141.0,833.0,1213.0,17.0,71.0,303.0,114.0,353.0,355.0,0.821209465381,792450.0,653.297609233
ant2,2210.0,5695.0,686.0,427.0,460.0,637.0,1687.0,641.0,3361.0,6.0,403.0,572.0,268.0,770.0,1342.0,0.655008891523,2240856.59723,666.723176802
eme1,10161.0,24659.0,4139.0,2119.0,1618.0,2285.0,216.0,9220.0,22685.0,17.0,1972.0,767.0,5564.0,9349.0,5016.0,23.5208333333,12807875.0191,564.596650612
mvw1,646.0,1715.0,107.0,69.0,119.0,351.0,360.0,304.0,3948.0,6.0,1088.0,91.0,946.0,1272.0,545.0,0.897222222222,1768341.37983,447.908150918
sbr1,4879.0,13260.0,1053.0,810.0,980.0,2036.0,3316.0,1761.0,7146.0,15.0,382.0,648.0,1646.0,2894.0,1561.0,0.735675512666,3664795.31644,512.845692197
cam1,892.0,2215.0,221.0,155.0,169.0,347.0,453.0,465.0,5910.0,8.0,767.0,862.0,1011.0,1980.0,1282.0,0.984547461369,2798285.57414,473.483176674
sfo6,2705.0,6488.0,1253.0,533.0,390.0,529.0,86.0,2651.0,15444.0,15.0,963.0,267.0,6198.0,5820.0,2181.0,15.726744186,11346422.0727,734.681563891
ber2,2975.0,6807.0,1439.0,640.0,446.0,450.0,128.0,2850.0,10054.0,4.0,263.0,539.0,1943.0,4651.0,2654.0,11.62109375,6964151.0,692.674656853
ala1,1246.0,3322.0,299.0,223.0,248.0,476.0,751.0,568.0,2679.0,4.0,185.0,124.0,726.0,1104.0,536.0,0.829560585885,1874382.26262,699.657432854
sle2,881.0,2240.0,195.0,182.0,204.0,300.0,123.0,800.0,2734.0,0.0,356.0,390.0,307.0,841.0,840.0,3.58130081301,1385373.84397,506.72049889
hay3_b,2601.0,6759.0,672.0,424.0,479.0,1026.0,437.0,1760.0,1469.0,2.0,138.0,289.0,115.0,588.0,337.0,2.97597254005,875346.988843,595.879502276
pin1,143.0,387.0,23.0,16.0,33.0,71.0,130.0,25.0,2662.0,7.0,178.0,285.0,445.0,1084.0,663.0,0.55,1336600.3768,502.10382299
ber6,749.0,1749.0,271.0,163.0,134.0,181.0,250.0,531.0,2520.0,1.0,204.0,151.0,509.0,971.0,684.0,1.498,1403770.16137,557.051651338
vta1_b,2594.0,7212.0,382.0,306.0,440.0,1466.0,725.0,1947.0,15926.0,45.0,1973.0,1453.0,3388.0,6588.0,2479.0,1.78896551724,6893233.68826,432.828939361
ccc3_a,1488.0,4003.0,338.0,237.0,277.0,636.0,968.0,610.0,805.0,2.0,90.0,169.0,71.0,188.0,285.0,0.768595041322,664437.144881,825.387757616
ori1,777.0,2298.0,38.0,47.0,125.0,567.0,21.0,770.0,4222.0,33.0,98.0,197.0,1241.0,1872.0,781.0,18.5,1826662.11533,432.653272223
ccg1_c,5576.0,15227.0,1038.0,793.0,1079.0,2666.0,3658.0,2207.0,11407.0,32.0,485.0,792.0,2711.0,5144.0,2243.0,0.762165117551,5273223.74987,462.279630917
ssf1,1403.0,3946.0,320.0,211.0,314.0,558.0,985.0,507.0,2352.0,4.0,233.0,200.0,361.0,749.0,805.0,0.712182741117,1299500.66252,552.508785084
bur1,8370.0,21920.0,1596.0,1186.0,1600.0,3988.0,3119.0,5486.0,21826.0,73.0,1209.0,1334.0,5712.0,8759.0,4739.0,1.34177621032,9570046.87348,438.47002994
mil1,216.0,568.0,36.0,34.0,34.0,112.0,26.0,197.0,3397.0,33.0,267.0,51.0,1624.0,1161.0,261.0,4.15384615385,1669288.17087,491.400697931
ccg1_f,12809.0,32994.0,2866.0,1957.0,2313.0,5673.0,5398.0,7653.0,8041.0,16.0,535.0,401.0,2471.0,3192.0,1426.0,1.18645794739,3697740.10065,459.860726358
ccg1_g,3196.0,8773.0,434.0,338.0,515.0,1909.0,1950.0,1373.0,8072.0,43.0,663.0,917.0,2112.0,2872.0,1465.0,0.819487179487,4013136.32952,497.167533389
ccg1_h,3399.0,9062.0,640.0,436.0,569.0,1754.0,1733.0,1687.0,11376.0,17.0,1563.0,465.0,3176.0,3846.0,2309.0,0.980669359492,6582611.15611,578.640221177
ccg1_l,2510.0,7252.0,438.0,293.0,461.0,1318.0,1991.0,595.0,4200.0,3.0,902.0,217.0,799.0,1098.0,1181.0,0.630336514314,2944146.77926,700.987328395
ccg1_j,2116.0,5551.0,299.0,228.0,334.0,1255.0,943.0,1256.0,1304.0,6.0,16.0,62.0,380.0,657.0,183.0,1.12195121951,553635.559692,424.567147003
new2,220.0,631.0,43.0,36.0,46.0,95.0,153.0,71.0,274.0,1.0,67.0,37.0,35.0,73.0,61.0,0.718954248366,152311.683356,555.882056043
vta1_f,719.0,1981.0,177.0,107.0,141.0,294.0,559.0,180.0,1149.0,2.0,249.0,148.0,147.0,317.0,286.0,0.643112701252,581793.952206,506.348087211
vta1_e,365.0,966.0,58.0,52.0,76.0,179.0,70.0,310.0,1454.0,9.0,338.0,65.0,337.0,424.0,281.0,2.60714285714,610240.0,419.69738652
vta1_k,85.0,243.0,16.0,18.0,12.0,39.0,72.0,18.0,158.0,1.0,35.0,29.0,8.0,44.0,41.0,0.590277777778,94659.0,599.107594937
fai1,704.0,1771.0,194.0,150.0,141.0,219.0,452.0,288.0,1993.0,4.0,111.0,358.0,193.0,541.0,786.0,0.778761061947,1881270.03993,943.938805784
fai4,694.0,1913.0,158.0,136.0,143.0,257.0,286.0,370.0,2527.0,7.0,202.0,537.0,233.0,852.0,696.0,1.21328671329,1269091.61624,502.21274881
ben1,2145.0,5625.0,427.0,344.0,411.0,963.0,240.0,1965.0,1112.0,1.0,36.0,328.0,100.0,324.0,323.0,4.46875,764921.418376,687.87897336
liv2,225.0,607.0,31.0,23.0,45.0,126.0,237.0,0.0,3754.0,96.0,1673.0,241.0,594.0,512.0,638.0,0.474683544304,3482250.0,927.610548748
cot1,364.0,983.0,77.0,72.0,84.0,131.0,191.0,200.0,440.0,2.0,19.0,76.0,40.0,151.0,152.0,0.952879581152,347869.0,790.611363636
sra1,2269.0,6050.0,463.0,338.0,419.0,1049.0,862.0,1569.0,10127.0,19.0,500.0,619.0,2497.0,4234.0,2258.0,1.31612529002,5065884.15334,500.235425431
sra2,1435.0,3781.0,209.0,198.0,265.0,763.0,930.0,608.0,5401.0,23.0,130.0,304.0,1065.0,2659.0,1220.0,0.771505376344,3209410.23186,594.225186422
new1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub1,737.0,2085.0,69.0,54.0,135.0,479.0,263.0,357.0,6144.0,44.0,576.0,1114.0,796.0,1892.0,1722.0,1.40114068441,3342619.2015,544.046093994
ber3,390.0,998.0,117.0,77.0,77.0,119.0,71.0,333.0,4662.0,3.0,489.0,317.0,671.0,1754.0,1428.0,2.74647887324,2298686.40585,493.068727124
hay3_a,38.0,127.0,4.0,6.0,16.0,12.0,26.0,14.0,588.0,1.0,53.0,145.0,42.0,211.0,136.0,0.730769230769,277631.834272,472.162983456
ccg1_e,3035.0,8044.0,672.0,427.0,622.0,1314.0,1220.0,1920.0,3721.0,2.0,147.0,471.0,545.0,1579.0,977.0,1.24385245902,2004144.21099,538.603657884
mar1,933.0,2288.0,197.0,165.0,198.0,373.0,543.0,468.0,4360.0,8.0,603.0,312.0,458.0,943.0,2036.0,0.859116022099,4392099.57491,1007.36228782
laf1,3108.0,8665.0,354.0,328.0,525.0,1901.0,1657.0,1637.0,6208.0,27.0,375.0,503.0,1367.0,2358.0,1578.0,0.93783946892,2875551.17436,463.200897931
sfo5,8994.0,21716.0,3555.0,1816.0,1468.0,2155.0,1.0,9137.0,14525.0,12.0,845.0,419.0,4374.0,4924.0,3951.0,4497.0,9677018.0,666.231876076
ccg1_k,131.0,350.0,25.0,20.0,20.0,66.0,99.0,35.0,785.0,5.0,44.0,25.0,242.0,268.0,201.0,0.661616161616,422814.622316,538.617353268
elc1_a,909.0,2268.0,237.0,160.0,179.0,333.0,576.0,390.0,3970.0,4.0,127.0,861.0,335.0,1519.0,1124.0,0.7890625,1970419.74851,496.327392572
wcc1_b,310.0,849.0,85.0,49.0,58.0,118.0,61.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54098360656,0.0,0.0
wcc1_e,137.0,330.0,48.0,41.0,19.0,29.0,61.0,82.0,407.0,0.0,24.0,64.0,28.0,169.0,122.0,1.12295081967,209606.359989,515.003341497
pin2,661.0,1789.0,94.0,95.0,125.0,347.0,522.0,206.0,1734.0,2.0,219.0,201.0,227.0,615.0,470.0,0.633141762452,1147129.69789,661.551152188
sma1,351.0,915.0,101.0,62.0,74.0,114.0,169.0,196.0,6161.0,3.0,542.0,305.0,1450.0,2512.0,1349.0,1.03846153846,3176318.89378,515.552490469
mpt1,2356.0,6410.0,377.0,319.0,412.0,1248.0,478.0,1979.0,7313.0,21.0,1732.0,1148.0,865.0,1768.0,1779.0,2.46443514644,4209903.51417,575.673938762
vta1_j,1238.0,3370.0,291.0,159.0,240.0,548.0,508.0,782.0,12475.0,64.0,649.0,1194.0,6059.0,3422.0,1087.0,1.21850393701,5859764.30699,469.720585731
ccg1_b,703.0,1822.0,174.0,134.0,144.0,251.0,366.0,357.0,4824.0,32.0,123.0,254.0,1911.0,1993.0,511.0,0.960382513661,2221775.35126,460.567029698
ccc4,777.0,2093.0,147.0,115.0,156.0,359.0,288.0,565.0,2516.0,5.0,151.0,327.0,318.0,959.0,756.0,1.34895833333,1241880.20794,493.593087416
plh1,547.0,1470.0,119.0,77.0,99.0,252.0,140.0,428.0,754.0,1.0,25.0,97.0,118.0,356.0,157.0,1.95357142857,654551.0,868.104774536
mor1,121.0,333.0,10.0,8.0,17.0,86.0,191.0,0.0,3167.0,17.0,54.0,268.0,747.0,1512.0,569.0,0.316753926702,1438261.94031,454.140176921
sfo7,5060.0,11622.0,2546.0,1027.0,679.0,808.0,0.0,5121.0,25978.0,21.0,413.0,251.0,18226.0,5273.0,1794.0,0.0,12813734.8896,493.253325491
rwc1,6353.0,16002.0,2329.0,1170.0,1066.0,1788.0,169.0,6344.0,18388.0,13.0,960.0,323.0,7386.0,7405.0,2301.0,18.7958579882,7702288.9808,418.875841897
men1,757.0,2137.0,107.0,91.0,124.0,435.0,628.0,95.0,5455.0,21.0,127.0,472.0,1398.0,2587.0,850.0,0.602707006369,2430864.34666,445.621328444
vac2,813.0,2072.0,222.0,153.0,170.0,268.0,114.0,279.0,1632.0,10.0,38.0,884.0,135.0,256.0,309.0,3.56578947368,825180.0,505.625
sle1,434.0,1167.0,84.0,62.0,91.0,197.0,92.0,356.0,3686.0,5.0,313.0,901.0,286.0,1220.0,961.0,2.35869565217,1829530.17618,496.345679918
ant1,3.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,11968.0,84.0,643.0,289.0,3634.0,5249.0,2069.0,0.5,5121119.20221,427.901002859
sma2,3501.0,9270.0,777.0,489.0,586.0,1649.0,1214.0,2775.0,24058.0,41.0,920.0,289.0,10548.0,10139.0,2121.0,1.44192751236,10417464.5657,433.014571689
sca1,518.0,1427.0,77.0,57.0,91.0,293.0,490.0,53.0,1792.0,2.0,207.0,118.0,396.0,664.0,405.0,0.528571428571,878858.598308,490.434485663
vta1_d,120.0,317.0,15.0,15.0,19.0,71.0,18.0,105.0,3076.0,9.0,121.0,233.0,867.0,1320.0,526.0,3.33333333333,1319950.4723,429.112637288
uni1,828.0,2245.0,114.0,105.0,153.0,456.0,181.0,672.0,6164.0,27.0,751.0,30.0,2979.0,1990.0,387.0,2.28729281768,2427932.76568,393.889157314
moh1,321.0,976.0,55.0,40.0,73.0,153.0,282.0,215.0,1549.0,8.0,250.0,311.0,166.0,398.0,416.0,0.56914893617,798614.0,515.567462879
sma3,313.0,840.0,55.0,38.0,50.0,170.0,225.0,109.0,5521.0,4.0,243.0,588.0,1635.0,2266.0,785.0,0.695555555556,2700558.78613,489.143051282
vta1_l,104.0,297.0,5.0,9.0,12.0,78.0,62.0,44.0,1008.0,5.0,47.0,195.0,159.0,389.0,213.0,0.838709677419,475738.511019,471.96280855
sjo2,3675.0,8949.0,1498.0,657.0,538.0,982.0,0.0,3796.0,1147.0,4.0,204.0,233.0,127.0,315.0,264.0,0.0,640702.648988,558.58992937
ber5,269.0,605.0,131.0,60.0,37.0,41.0,54.0,191.0,1453.0,0.0,33.0,148.0,227.0,735.0,310.0,2.49074074074,781650.957715,537.95661233
wcc1_f,750.0,2062.0,138.0,104.0,147.0,361.0,437.0,375.0,721.0,1.0,71.0,102.0,63.0,248.0,236.0,0.858123569794,430165.900732,596.623995467
ccg1_m,629.0,1761.0,122.0,81.0,138.0,288.0,55.0,587.0,708.0,0.0,110.0,64.0,158.0,206.0,170.0,5.71818181818,475202.692675,671.190243891
vta1_g,24.0,64.0,8.0,3.0,6.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
ber4,57.0,132.0,26.0,16.0,5.0,10.0,41.0,18.0,585.0,1.0,22.0,79.0,62.0,265.0,156.0,0.69512195122,405389.716815,692.973874897
ccc3_b,684.0,1750.0,199.0,96.0,144.0,245.0,750.0,0.0,383.0,1.0,19.0,132.0,24.0,115.0,92.0,0.456,196757.0,513.725848564
con1_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub2,799.0,2266.0,89.0,63.0,133.0,514.0,110.0,697.0,244.0,2.0,38.0,27.0,25.0,51.0,101.0,3.63181818182,92503.0810984,379.110988108
con1_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
